;Original name;Russian name;Year;Country;Genre;Director;Actors
71;Love & Basketball;«Любовь и баскетбол»;2000;США;драма, мелодрама, спорт;Джина Принс-Байтвуд;Омар Эппс, Санаа Лэтэн, Элфри Вудард
72;American Psycho;«Американский психопат»;2000;США, Канада;драма, криминал, триллер;Мэри Хэррон;Кристиан Бэйл, Уиллем Дефо, Джош Лукас
73;Memento;«Помни»;2000;США;триллер, детектив, драма;Кристофер Нолан;Гай Пирс, Кэрри-Энн Мосс, Джо Пантольяно
74;Gommorah;«Гоморра»;2008;Италия;драма, криминал;Маттео Гарроне;Сальваторе Абруццезе, Симоне Саккеттино, Сальваторе Руокко
75;The Rules of the Game;«Правила игры»;1939;Франция;драма, комедия;Жан Ренуар;Нора Грегор, Полетт Дюбо, Мила Парели
76;Seven Samurai;«Семь самураев»;1954;Япония;драма, боевик;Акира Куросава;Тосиро Мифунэ, Такаси Симура, Кэйко Цусима
77;The Bicycle Thief;«Похитители велосипедов»;1948;Италия;драма;Витторио Де Сика;Ламберто Маджорани, Энцо Стайола, Лианелла Карелль
78;Hiroshima Mon Amour;«Хиросима, любовь моя»;1959;Франция, Япония;драма, мелодрама;Ален Рене;Эмманюэль Рива, Эидзи Окада, Стелла Дассас
79;The 400 Blows;«Четыреста ударов»;1959;Франция;драма, криминал;Франсуа Трюффо;Жан-Пьер Лео, Клер Морье, Альбер Реми
80;M;«М»;;Германия;триллер, криминал, детектив;Фриц Ланг;Петер Лорре, Эллен Видманн, Инге Ландгут
81;Pickpocket;«Карманник»;1959;Франция;драма, криминал;Робер Брессон;Мартин ЛаСалль, Марика Грин, Жан Пелегри
82;The Great Dictator;«Великий диктатор»;1940;США;драма, комедия, военный;Чарльз Чаплин;Чарльз Чаплин, Джек Оуки, Реджинальд Гардинер
83;The Wizard of Oz;«Волшебник страны Оз»;1939;США;мюзикл, фэнтези, приключения;Виктор Флеминг, Джордж Кьюкор, Мервин ЛеРой;Джуди Гарлэнд, Фрэнк Морган, Рэй Болджер
84;Pulp Fiction;«Криминальное чтиво»;1994;США;криминал, драма;Квентин Тарантино;Джон Траволта, Сэмюэл Л. Джексон, Брюс Уиллис
85;It Happened One Night;«Это случилось однажды ночью»;1934;США;мелодрама, комедия;Фрэнк Капра;Кларк Гейбл, Клодетт Кольбер, Уолтер Коннолли
86;ET: The Extra-Terrestrial;«Инопланетянин»;1982;США;фантастика, семейный, драма;Стивен Спилберг;Генри Томас, Дрю Бэрримор, Ди Уоллес-Стоун
87;Star Wars;«Звездные вoйны»;1999;США;фантастика, фэнтези, боевик;Джордж Лукас;Лиам Нисон, Юэн Макгрегор, Натали Портман
88;If Beale Street Could Talk;«Если Бил-стрит могла бы заговорить»;2018;США;драма, мелодрама;Барри Дженкинс;Кики Лэйн, Стефан Джеймс, Реджина Кинг
89;Titanic;«Титаник»;1997;США, Мексика;мелодрама, история, триллер;Джеймс Кэмерон;Леонардо ДиКаприо, Кейт Уинслет, Билли Зейн
90;Blue Velvet;«Синий бархат»;1986;США;триллер, драма, криминал;Дэвид Линч;Изабелла Росселлини, Кайл МакЛоклен, Деннис Хоппер
91;White Men Can't Jump;«Белые люди не умеют прыгать»;1992;США;комедия, спорт;Рон Шелтон;Уэсли Снайпс, Вуди Харрельсон, Рози Перес
92;The Hurt Locker;«Повелитель бури»;2008;США;триллер, драма, военный;Кэтрин Бигелоу;Джереми Реннер, Энтони Маки, Брайан Джерати
93;12 Years a Slave;«12 лет рабства»;2013;США, Великобритания;драма, биография, история;Стив МакКуин;Чиветель Эджиофор, Майкл Фассбендер, Лупита Нионго
94;The Matrix;«Матрица»;1999;США, Австралия;фантастика, боевик;Лана Вачовски, Лилли Вачовски;Киану Ривз, Лоренс Фишбёрн, Кэрри-Энн Мосс
95;Raiders of the Lost Arc;«Индиана Джонс: В поисках утраченного ковчега»;1981;США;приключения, боевик, комедия;Стивен Спилберг;Харрисон Форд, Карен Аллен, Пол Фримен
96;Back to the Future;«Назад в будущее»;1985;США;фантастика, комедия, приключения;Роберт Земекис;Майкл Дж. Фокс, Кристофер Ллойд, Лиа Томпсон
97;Boyz in the Hood;«Ребята по соседству»;1991;США;драма, криминал;Джон Синглтон;Кьюба Гудинг мл., Айс Кьюб, Моррис Честнат
98;Lady Bird;«Леди Бёрд»;2017;США;драма, комедия;Грета Гервиг;Сирша Ронан, Лори Меткаф, Трэйси Леттс
99;The Social Network;«Социальная сеть»;2010;США;драма, биография;Дэвид Финчер;Джесси Айзенберг, Эндрю Гарфилд, Джастин Тимберлейк
